speciesid,population,season,hunger
13,162,23,16
15,114,23,16
17,17,23,16
18,59,23,16
20,841,23,16
4,527,24,16
5,125,24,16
8,576,24,16
10,26,24,16
12,6,24,16
13,171,24,16
15,109,24,16
17,22,24,16
18,54,24,16
20,831,24,16
4,542,25,16
5,132,25,16
8,585,25,16
10,30,25,16
12,6,25,16
13,160,25,16
15,107,25,16
17,25,25,16
18,51,25,16
20,816,25,16
4,562,26,16
5,130,26,16
8,575,26,16
10,20,26,16
12,8,26,16
13,156,26,16
15,107,26,16
17,30,26,16
18,44,26,16
20,817,26,16
4,565,27,16
5,123,27,16
8,584,27,16
10,24,27,16
12,4,27,16
13,162,27,16
15,101,27,16
17,39,27,16
18,35,27,16
20,802,27,16
4,584,28,16
5,126,28,16
8,586,28,16
10,29,28,16
12,6,28,16
13,175,28,16
15,98,28,16
17,37,28,16
18,31,28,16
20,777,28,16
4,573,29,16
5,117,29,16
8,593,29,16
10,33,29,16
12,7,29,16
13,188,29,16
15,95,29,16
17,40,29,16
18,30,29,16
20,770,29,16
4,568,30,16
5,124,30,16
8,611,30,16
10,38,30,16
12,7,30,16
13,193,30,16
15,86,30,16
17,44,30,16
18,29,30,16
20,749,30,16
1,150,-1,8
2,150,-1,8
3,150,-1,8
4,150,-1,8
5,150,-1,8
6,150,-1,8
7,150,-1,8
8,150,-1,8
9,150,-1,8
10,150,-1,8
11,150,-1,8
12,150,-1,8
13,150,-1,8
14,150,-1,8
15,150,-1,8
16,150,-1,8
17,150,-1,8
18,150,-1,8
19,150,-1,8
20,150,-1,8
1,102,0,8
2,90,0,8
3,91,0,8
4,90,0,8
5,87,0,8
6,89,0,8
7,82,0,8
8,85,0,8
9,89,0,8
10,98,0,8
11,92,0,8
12,94,0,8
13,81,0,8
14,84,0,8
15,86,0,8
16,89,0,8
17,86,0,8
18,83,0,8
19,77,0,8
20,92,0,8
1,85,1,8
2,5,1,8
3,238,1,8
4,56,1,8
5,6,1,8
6,17,1,8
7,13,1,8
8,14,1,8
9,227,1,8
10,17,1,8
11,9,1,8
12,88,1,8
13,16,1,8
14,5,1,8
15,16,1,8
16,196,1,8
17,218,1,8
18,39,1,8
19,68,1,8
20,73,1,8
1,19,2,8
3,41,2,8
9,189,2,8
12,3,2,8
16,468,2,8
17,569,2,8
18,5,2,8
20,4,2,8
3,1,3,8
9,47,3,8
16,613,3,8
17,1125,3,8
16,34,4,8
17,1907,4,8
17,2370,5,8
17,2451,6,8
17,2466,7,8
17,2457,8,8
17,2452,9,8
17,2453,10,8
17,2453,11,8
17,2451,12,8
17,2452,13,8
17,2437,14,8
17,2445,15,8
17,2463,16,8
17,2452,17,8
17,2438,18,8
17,2463,19,8
17,2454,20,8
17,2442,21,8
17,2469,22,8
17,2458,23,8
17,2443,24,8
17,2446,25,8
17,2458,26,8
17,2455,27,8
17,2444,28,8
17,2441,29,8
17,2439,30,8
