speciesid,population,season,run
10,322,19,5
14,41,19,5
15,221,19,5
20,107,19,5
3,130,20,5
6,844,20,5
7,629,20,5
8,579,20,5
10,319,20,5
14,46,20,5
15,203,20,5
20,100,20,5
1,150,-1,1
2,150,-1,1
3,150,-1,1
4,150,-1,1
5,150,-1,1
6,150,-1,1
7,150,-1,1
8,150,-1,1
9,150,-1,1
10,150,-1,1
11,150,-1,1
12,150,-1,1
13,150,-1,1
14,150,-1,1
15,150,-1,1
16,150,-1,1
17,150,-1,1
18,150,-1,1
19,150,-1,1
20,150,-1,1
1,98,0,1
2,84,0,1
3,89,0,1
4,99,0,1
5,97,0,1
6,88,0,1
7,98,0,1
8,85,0,1
9,98,0,1
10,97,0,1
11,93,0,1
12,110,0,1
13,100,0,1
14,95,0,1
15,96,0,1
16,98,0,1
17,96,0,1
18,103,0,1
19,101,0,1
20,98,0,1
1,109,1,1
2,162,1,1
3,3,1,1
4,168,1,1
5,8,1,1
6,153,1,1
7,24,1,1
8,31,1,1
9,161,1,1
10,21,1,1
11,158,1,1
12,48,1,1
13,173,1,1
14,151,1,1
15,195,1,1
16,119,1,1
17,16,1,1
18,22,1,1
19,17,1,1
20,20,1,1
1,101,2,1
2,307,2,1
4,126,2,1
6,239,2,1
8,4,2,1
9,189,2,1
10,8,2,1
11,112,2,1
13,258,2,1
14,156,2,1
15,340,2,1
16,46,2,1
18,2,2,1
1,76,3,1
2,473,3,1
4,48,3,1
6,332,3,1
9,210,3,1
10,6,3,1
11,90,3,1
13,399,3,1
14,151,3,1
15,478,3,1
16,14,3,1
1,68,4,1
2,609,4,1
4,23,4,1
6,413,4,1
9,234,4,1
10,2,4,1
11,97,4,1
13,508,4,1
14,160,4,1
15,576,4,1
16,5,4,1
1,75,5,1
2,665,5,1
4,9,5,1
6,434,5,1
9,231,5,1
11,96,5,1
13,538,5,1
14,153,5,1
15,599,5,1
16,2,5,1
1,89,6,1
2,682,6,1
4,4,6,1
6,414,6,1
9,238,6,1
11,83,6,1
13,542,6,1
14,160,6,1
15,616,6,1
16,2,6,1
1,95,7,1
2,674,7,1
4,4,7,1
6,420,7,1
9,223,7,1
11,91,7,1
13,545,7,1
14,156,7,1
15,623,7,1
16,2,7,1
1,105,8,1
2,688,8,1
4,3,8,1
6,425,8,1
9,212,8,1
11,92,8,1
13,551,8,1
14,152,8,1
15,615,8,1
16,2,8,1
1,109,9,1
2,694,9,1
4,7,9,1
6,458,9,1
9,200,9,1
11,94,9,1
13,525,9,1
14,141,9,1
15,613,9,1
