"speciesid","active","dead","hunger","maturity","x_loc","y_loc","emergence","interactions","midpoint","scale","skew","midpoint.sensitivity","scale.sensitivity","skew.sensitivity","generalism","lifespan","efficacy","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","season","run"
12,0,0,0,0,23,-2,150,10,148.46886430867,-0.382191772665828,1.78313681716099,3.27106454855728,0.008883668348426,-0.00666347694583237,1,28,0.0558148042834364,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,8
13,0,0,0,0,9,15,102,8,106.849868078716,0.466370458574966,1.29256473830901,-5.51477399874407,-0.00120505496743135,0.0226598783023655,0,31,0.0225858909636736,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,8
14,0,0,0,0,1,38,131,1,133.598886318505,-0.320068617048673,1.3166467261035,-12.7540667802336,-0.00324830846511759,-0.00554741247557104,0,40,0.0352410094067454,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
15,0,0,0,0,39,7,110,2,111.337188798934,0.56947622706648,1.91072700242512,9.00481812143604,0.00926248961826786,0.0207923394371755,0,33,0.0873983047273941,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
16,0,0,0,0,11,38,87,7,91.299606137909,0.532387334760278,1.53745520161465,-0.8854887971602,0.000740545013686642,-0.00959133373340592,0,37,0.0470187696325593,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,8
17,0,0,0,0,25,30,140,10,141.704339082353,-0.582421061955392,1.91960868425667,1.17676258081054,0.00916886343155056,0.0295038509508595,1,39,0.0447118278313428,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,8
18,0,0,0,0,36,10,135,3,146.043184474111,0.513401046814397,1.72540667024441,-5.05861511305213,-0.0031065959809348,0.0293131329561584,0,40,0.0896163382777013,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
19,0,0,0,0,2,27,148,8,149.856014326215,-0.401223889295943,1.6837479872629,0.675145689163901,0.00600823472486809,0.0148013132018968,0,28,0.0909401476290077,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,8
20,0,0,0,0,35,6,141,4,139.944276027381,0.461338138254359,1.00188195728697,-6.26131218791341,-0.0043613470310811,0.0235719709401019,0,31,0.0178426058427431,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,8
21,0,0,0,0,28,31,133,1,128.913178551011,0.396326616103761,1.44775354489684,-0.864090776918985,-0.00473366473685019,0.0371506362897344,0,32,0.0261537749716081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8
22,0,0,0,0,1,35,85,5,93.606309662573,0.311226056213491,1.72028780658729,-6.00082480714824,0.000337126130471006,0.0246404102281667,0,30,0.0542793894698843,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,8
23,0,0,0,0,23,24,95,1,93.1519002187997,-0.309305458492599,1.48134624701925,-13.9857297486039,-0.00261947413440794,0.00792640020139516,0,47,0.0189639574894682,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
24,0,0,0,0,37,5,116,5,103.174269385636,-0.340127962594852,1.99125125212595,-6.585065115729,0.00948667354416102,0.0361683125817217,0,35,0.0831972587946802,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,8
25,0,0,0,0,40,22,99,10,97.9159580776468,0.336600606911816,1.05096487281844,-11.5904729159269,0.00288085677661002,0.0193526784866117,1,47,0.0651260233717039,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,8
26,0,0,0,0,10,36,145,1,143.778334278613,-0.418368660681881,1.25905482494272,-21.5933170895794,0.00525293358950876,-0.00832653814228252,0,41,0.0539998610457406,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
27,0,0,0,0,9,44,107,1,108.852292578667,0.591728260740638,1.28727424913086,-3.84047800012649,0.00532110699918121,0.0203775054751895,0,33,0.0501520504523069,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
28,0,0,0,0,39,39,136,1,129.950420488603,0.342245290917344,1.5960240168497,-9.216069680394,0.00333830038900487,0.035516442193184,0,28,0.027064795519691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8
29,0,0,0,0,20,28,114,13,119.795674486086,-0.495647180336528,1.66054458217695,-2.72328346562065,0.00814962455770001,-0.00685928573599085,1,31,0.089115387967322,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,8
