"speciesid","active","dead","pollinated","maturity","x_loc","y_loc","emergence","interactions","midpoint","scale","skew","midpoint.sensitivity","scale.sensitivity","skew.sensitivity","generalism","lifespan","seedlings","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","season","run","type"
13,0,0,0,0,35,1,140,1,136.242961306125,0.492754664830863,1.83341428241692,0.921539894575896,-9.08492249436683e-06,0.033156709196046,0,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,"scale"
14,0,0,0,0,36,23,141,1,141.080571706407,0.400515292072669,1.29281711159274,-7.98491044407769,0.000386054156115278,0.00670989962294698,0,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,"scale"
15,0,0,0,0,13,7,116,3,116.148981219158,-0.448895367002115,1.41997604654171,-9.89697533689931,0.000213855352485552,0.0172158031584695,0,30,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,"scale"
16,0,0,0,0,25,25,108,1,106.107100602239,0.386484422651119,1.70822162390687,-7.1477389638407,0.00432530817692168,0.010568294916302,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,"scale"
17,0,0,0,0,29,10,139,1,134.10259666387,0.380038038664497,1.90710874996148,0.188093073164243,0.00599737297277898,-0.00630189458839595,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,"scale"
18,0,0,0,0,33,7,124,1,120.844084471464,-0.367494685342535,1.50327475601807,-9.4042489737287,-0.000785663630813361,0.0155124159739353,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,"scale"
19,0,0,0,0,5,17,115,2,96.2816081335768,-0.367895782878622,1.47574919671752,-3.18513339013654,-0.00336912268190645,0.0160100046754815,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,"scale"
20,0,0,0,0,21,35,126,12,125.795468324795,0.461661310773343,1.13200865010731,-8.2080958535025,0.00359985183109529,0.01613234159071,1,25,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,19,"scale"
1,0,0,0,0,1,5,113,10,114.916263883933,0.311229154304601,1.69565186253749,-4.51712133126151,0.00490978263667785,0.0283220537099987,1,41,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,19,"scale"
9,0,0,0,0,36,8,95,1,94.3357852986082,-0.564840528205968,1.6387489545159,-9.09047709057251,0.000736682321876288,-0.0096303915977478,0,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,"scale"
6,0,0,0,0,6,30,107,6,101.667756023817,-0.565080795600079,1.85059495596215,-8.36198420247949,0.000354669796070083,0.000933493264019489,1,25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,19,"scale"
19,0,0,0,0,4,35,94,2,96.2816081335768,-0.367895782878622,1.47574919671752,-3.18513339013654,-0.00336912268190645,0.0160100046754815,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,19,"scale"
