"speciesid","active","dead","pollinated","maturity","x_loc","y_loc","emergence","interactions","midpoint","scale","skew","midpoint.sensitivity","scale.sensitivity","skew.sensitivity","generalism","lifespan","seedlings","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","season","run","type"
3,0,0,0,0,4,33,126,15,127.132443753071,-0.495302423019893,1.25692563527264,-7.25415554549389,0.00501202609739266,-0.00454502030275762,1,33,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,3,4,"control"
8,0,0,0,0,14,7,153,14,147.629456939176,0.431659416784532,1.61642681038938,-9.7828794372429,0.00696225201245397,0.0304577601468191,1,27,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,3,4,"control"
2,0,0,0,0,8,15,89,4,93.5456998692825,-0.505957603873685,1.40665548294783,-0.583550343166234,0.00729772082879208,0.0239964186423458,0,32,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,4,"control"
5,0,0,0,0,34,7,103,1,105.204345379025,0.303441397519782,1.16834649746306,0.470734826460125,0.003005246873945,0.00928667773026973,0,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,"control"
12,0,0,0,0,19,27,106,3,113.636191771366,0.337977228756063,1.11528432904743,-10.9832012223842,-0.000547970525221899,0.00897772203665227,0,29,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,4,"control"
6,0,0,0,0,20,28,119,4,123.671969468705,-0.525762343034148,1.2968608008232,-3.54509369118159,0.00859694600570947,-0.00830603052396327,0,27,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,4,"control"
14,0,0,0,0,2,36,128,5,137.334044510499,0.392959971050732,1.89956219540909,-8.34413083697743,0.00301439223927446,0.0301157668558881,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,3,4,"control"
10,0,0,0,0,28,3,140,1,140.381302242167,0.412423987453803,1.46335694263689,-1.62748718206522,-0.0026300175418146,0.0261179283587262,0,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,"control"
1,0,0,0,0,36,14,149,6,149.64544320479,-0.54396954216063,1.85233444534242,0.95198761901557,0.00495560128707439,0.030854418813251,0,36,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,3,4,"control"
19,0,0,0,0,31,18,87,15,90.135517437011,0.468858079542406,1.85969680943526,-7.99004423907153,0.00746619898593053,0.0312264839047566,1,34,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,4,4,"control"
