"speciesid","active","dead","pollinated","maturity","x_loc","y_loc","emergence","interactions","midpoint","scale","skew","midpoint.sensitivity","scale.sensitivity","skew.sensitivity","generalism","lifespan","seedlings","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","season","run","type"
14,0,0,0,0,13,15,125,4,127.438256051391,0.568093342892826,1.44016173062846,-2.76449737052853,0.00884474054095335,-0.00252508784411475,0,29,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,15,"control"
18,0,0,0,0,23,34,130,2,132.200836585835,-0.572807468567043,1.08894654363394,-1.17239945201833,0.00133556541637518,0.0303772568446584,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,15,"control"
11,0,0,0,0,10,16,133,2,148.715427028947,0.478515330073424,1.62467203242704,-3.82737682434937,0.00796961231157184,0.00764316892949864,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,15,"control"
16,0,0,0,0,9,26,118,16,119.458625754341,-0.431154598714784,1.16853748029098,-4.62379164917189,0.00464299836894497,0.00726967624854296,1,30,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,3,15,"control"
15,0,0,0,0,12,15,87,9,98.4308258397505,0.314724488882348,1.62131577800028,-2.12563145139502,-0.00349593924591318,0.0101372312381864,1,27,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,15,"control"
3,0,0,0,0,29,27,103,15,100.004278435372,0.573339020297863,1.18048775801435,-9.34152945976229,0.00361155461985618,0.0126582962204702,1,30,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,3,15,"control"
19,0,0,0,0,10,18,143,5,146.050010346808,0.491786847123876,1.56489224452525,-3.95656069512523,-0.00354961419478059,0.0281190304062329,0,35,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,15,"control"
9,0,0,0,0,4,32,127,3,129.42103067413,0.392476446577348,1.11726160650142,-8.8628087959887,-0.000132284824503586,0.0175903845438734,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,15,"control"
20,0,0,0,0,15,6,114,5,112.20778088551,-0.40165565838106,1.97082963236608,-2.72544442919764,0.000246223632711917,0.0363822591118515,0,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,15,"control"
7,0,0,0,0,29,31,94,2,91.8388086743653,0.556717017944902,1.49074752652086,-1.97091526243818,0.00259532200987451,0.00561889811418951,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,15,"control"
